fbs_item_code,equivalence_n_obs,equivalence_ratio,equivalence_share_within_tol,fbs_item,kcal_per_100g,kcal_basis,kcal_n_obs,kcal_q25,kcal_q75,kcal_dispersion_high,kcal_n_nonpositive
2511,1134,1.0,0.8042328042328042,Wheat and products,258.3860465116279,consumers_above_min_kg,1731,241.12396880464235,272.53018298235577,0.0,0
2513,968,1.0,0.8254132231404959,Barley and products,230.82425302638023,consumers_above_min_kg,490,201.61428605460003,260.6655220237619,0.0,487
2514,1465,1.0,0.8095563139931741,Maize and products,317.4327663154814,consumers_above_min_kg,1440,282.2994753097569,335.3681999258377,0.0,45
2515,611,0.9991673605328892,0.662847790507365,Rye and products,263.1950105411103,consumers_above_min_kg,261,250.34386617100373,279.58401639344265,0.0,650
2516,722,1.0,0.7146814404432132,Oats,200.91898148148147,consumers_above_min_kg,534,196.96226415094335,218.47595725600652,0.0,232
2517,682,0.9999861197362555,0.6114369501466276,Millet and products,299.96374166931133,consumers_above_min_kg,230,298.8465320121951,317.7336533787069,0.0,215
2518,967,0.9998625146078229,0.6680455015511892,Sorghum and products,313.15308249821044,consumers_above_min_kg,348,295.75184411393656,330.19275837299097,0.0,182
2520,790,1.0088790511835757,0.489873417721519,"Cereals, other",289.25651198607204,consumers_above_min_kg,588,132.76886100298037,347.5392436510858,1.0,124
2531,1408,1.0,0.8465909090909091,Potatoes and products,63.80937712473293,consumers_above_min_kg,1650,60.42212468859664,64.46017300777027,0.0,0
2532,809,0.9999982679398464,0.7243510506798516,Cassava and products,117.94346473029044,consumers_above_min_kg,755,99.64606199406563,121.83744582348304,0.0,323
2533,922,0.9999730803201659,0.6355748373101953,Sweet potatoes,97.94738165732522,consumers_above_min_kg,698,97.92082186322807,98.03627331228894,0.0,233
2534,787,0.9997779216701651,0.6162642947903431,"Roots, Other",84.77869897959184,consumers_above_min_kg,625,84.62313860252003,85.05188679245282,0.0,591
2535,441,0.9986013012037744,0.6190476190476191,Yams,89.0385668703742,consumers_above_min_kg,302,89.00877192982456,89.0597933182333,0.0,309
2536,837,1.0,0.8255675029868578,Sugar cane,32.99949524084222,consumers_above_min_kg,271,32.987633715389435,33.0112208399765,0.0,295
2537,539,0.9999973123168456,0.862708719851577,Sugar beet,55.71052631578948,all_consumers,69,54.74999999999999,56.15384615384615,0.0,237
2543,30,2.416189955877525,0.13333333333333333,"Sweeteners, Other",56.80678317081714,consumers_above_min_kg,1480,42.630864183966224,121.68497420464317,1.0,0
2546,998,0.9996847606327933,0.6803607214428857,Beans,316.0365853658537,consumers_above_min_kg,771,315.82405606792844,316.25981269168983,0.0,125
2547,906,0.9994264313415917,0.5717439293598234,Peas,323.07432432432427,consumers_above_min_kg,443,322.6739004112284,323.6462765957447,0.0,232
2549,1351,1.0005427006759091,0.5210954848260547,"Pulses, Other and products",329.4125,consumers_above_min_kg,922,324.3391685483098,334.54777276258835,0.0,74
2551,1096,0.999270936098072,0.5766423357664233,Nuts and products,146.2835538802898,consumers_above_min_kg,1128,87.2449855253237,229.09336734693875,1.0,51
2552,976,0.9997279296825131,0.5983606557377049,Groundnuts,331.8953488372093,consumers_above_min_kg,1177,184.8464285714286,411.0154707044108,1.0,6
2555,918,1.0,0.6775599128540305,Soyabeans,399.85749999999996,consumers_above_min_kg,279,368.07740964524515,405.08763877513877,0.0,355
2557,694,0.9999990324159992,0.7247838616714697,Sunflower seed,461.88653840455174,consumers_above_min_kg,42,461.3514081546868,462.5954352304919,0.0,358
2558,663,0.9999865711214803,0.799396681749623,Rape and Mustardseed,71.77881040892193,consumers_above_min_kg,107,71.60756920415224,73.9971626147358,0.0,340
2560,727,0.9999887662541355,0.5928473177441541,Coconuts - Incl Copra,86.96953867052002,consumers_above_min_kg,668,84.95516013859455,104.58570727501034,0.0,118
2561,616,0.9993488241250517,0.5665584415584416,Sesame seed,585.0370552512383,consumers_above_min_kg,126,584.2625248015873,585.8740980187695,0.0,303
2562,400,1.0,0.8475,Palm kernels,,not_derivable,0,,,,6
