assignment_id,assignment,fbs_item_code,equivalence_ratio,equivalence_n_obs,selected
0,567->2605; 568->2605,2605,1.0004181910296115,1716,True
0,567->2605; 568->2605,2625,1.000234975835593,1703,True
1,567->2605; 568->2625,2605,1.0147620079457893,1716,False
1,567->2605; 568->2625,2625,0.9793162667200478,1706,False
2,567->2625; 568->2605,2605,1.0681104713297158,1716,False
2,567->2625; 568->2605,2625,0.880894464300964,1706,False
3,567->2625; 568->2625,2605,1.0941719787091204,1716,False
3,567->2625; 568->2625,2625,0.840344758989628,1706,False
